_id,asin,packSize,price,ref1,ref1PackSize,ref1Price,ref1Reviews,ref2,ref2PackSize,ref2Price,ref2Reviews,ref3,ref3PackSize,ref3Price,ref3Reviews,reviews
"""610d69a86b5dbb840c6e17bd""",B01MYAGGEX,1,$13.49,B083LGM9HH,10,$16.99,"6,181",B01JMZX4DS,10,$15.62,"2,442",B008937GXY,10,$15.35,955,
"""610d69a86b5dbb840c6e17c8""",B0775YFBRC,1,$37.21,B00NLI949Q,1,$30.17,"2,185",B01A67IIC8,,$48.77,"1,058",,,,,
"""610d69a86b5dbb840c6e17d3""",B0775YPJ5C,1,$31.17,B00NLI94K0,1,,360,B00O1DUAWU,1,$41.29,65,,,,,
"""610d69a86b5dbb840c6e17e3""",B01N24KI7Y,1,$16.49,B07Z32C8TG,12,$15.99,"15,724",B08FPFPYGF,1,$13.56,693,,,,,
"""610d69a86b5dbb840c6e17f6""",B0775YPJ5F,1,$41.62,B0066NVW6G,,,"1,451",B01A67BQ4U,,$54.95,"1,058",,,,,
"""610d69a86b5dbb840c6e1801""",B07GF5F3NB,1,$25.33,B081T93WCK,18,,"2,423",B01DFMXW8Q,18,$31.99,72,,,,,
"""610d69a86b5dbb840c6e180c""",B01N24KM9U,1,$35.13,B08L8X2TL1,75,$29.99,485,B07PMBVYWX,510,$42.59,122,B00MX66MZG,1,$20.76,277,
"""610d69a86b5dbb840c6e1819""",B0775XKM8R,1,$12.99,B0000DCFEM,1,$18.11,"1,052",B01A3I40UE,,$16.99,"1,058",,,,,
"""610d69a86b5dbb840c6e1827""",B01N5RJLEO,1,$19.55,B07Y853YQG,310,$21.49,371,B07GJSBBSW,1,$25.99,124,B07QCSSFWY,10,$14.88,"1,163",
"""610d69a86b5dbb840c6e1833""",B07GF4X7WC,1,$20.26,B00BEZJLPK,12,$26.49,388,B00BEZKBEU,12,,234,,,,,
"""610d69a86b5dbb840c6e1843""",B07GF583PV,1,$10.19,B004350TXG,1,$12.89,758,B07KBDXPQZ,2,$22.99,511,,,,,
"""610d69a86b5dbb840c6e184f""",B01MR895GG,1,$23.99,B00B2OJHCA,10,$37.49,144,B00GR860IA,10,$39.95,53,B00FZC33UW,10,$29.95,71,
"""610d69a86b5dbb840c6e1859""",B01MYAGID4,1,$37.49,B01BQI3X62,1,$37.99,61,B008967AZA,1,$22.89,183,B078H26THW,3,$32.97,"6,886",
